id	ConceptA	ConceptB_Pre	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil	domain	prerequisite	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi
1	Network_security	Computer_network	14.1	170.0	36.39	828.0	47.0	15.6	0.032085294	14.2	1318.0	43.63	7747.0	383.0	15.0	0.039322811	0.00095297	0.002302821	1.467839696	1.197678068	0.047096068	0	0.5873	0.66667	0.42857	Computer Science	1	3.98e-06	2.852e-05	1.9e-08	0.000672495	0.004819277	-162.2078	308	107	2537	437	10	2	0.13636	0.42594	7.97415
2	Network_security	Algorithm	14.1	170.0	36.39	828.0	47.0	15.6	0.032085294	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000945397	0.002303484	0.896387763	1.535100944	0.028760865	0	0.42937	0.55556	0.33333	Computer Science	1	3.98e-06	3.7994e-05	0.0	0.0	0.0	-191.6348	308	107	3540	422	3	0	0.03247	0.60959	5.42314
3	Software_engineering	Algorithm	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000945397	0.002304147	0.810589112	1.440374298	0.026986115	0	0.37446	0.71429	0.0	Computer Science	1	1.3924e-05	3.7994e-05	0.0	0.0	0.0	-136.218	1260	192	3540	422	8	0	0.05159	0.48634	6.09116
4	Information_retrieval	Data_structure	13.9	498.0	38.21	2334.0	128.0	15.2	0.074400964	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001024984	0.00230249	2.102223239	1.102711012	0.156407436	0	0.27778	0.5	0.0	Computer Science	1	6.339e-06	7.269e-06	0.0	0.0	0.0	-39.2842	467	194	599	159	3	0	0.03854	0.38047	8.23377
5	Computer_vision	Algorithm	14.7	880.0	35.68	5049.0	294.0	15.2	0.026298397	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000945397	0.002304147	0.893813336	1.254616816	0.023505858	0	0.21975	0.6	0.0	Computer Science	1	8.87e-06	3.7994e-05	0.0	0.0	0.0	-167.8472	764	161	3540	422	7	0	0.09555	0.44512	6.98039
6	Distributed_object	Object-oriented_design	15.9	80.0	33.24	548.0	26.0	17.1	0.036162794	14.6	145.0	34.36	1258.0	60.0	14.5	0.056040229	0.00102811	0.002301165	1.56057371	1.007039183	0.056434706	0	0.41667	0.5	0.33333	Computer Science	1	6.33e-07	1.16e-06	0.0	0.0	0.0	-2.91289	21	45	57	64	2	0	0.0	0.0	0.0
7	Information_management	Artificial_intelligence	19.6	424.0	13.11	2898.0	88.0	22.7	0.096355928	14.9	2049.0	41.8	13361.0	621.0	15.7	0.012433049	0.001011909	0.002294894	0.670948033	5.1998364	0.06464982	0	0.12874	0.5	0.0	Computer Science	1	4.066e-06	4.8121e-05	0.0	0.0	0.0	-135.5043	265	159	4442	576	5	0	0.0717	0.55779	6.23862
8	Object-oriented_programming	Data_structure	14.4	978.0	42.72	5883.0	321.0	15.9	0.023412961	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001050609	0.00230249	4.662464691	0.769619766	0.109162104	0	0.42593	0.66667	0.11111	Computer Science	1	1.9045e-05	7.269e-06	1.9e-08	0.002638522	0.001007049	21.9407	1644	342	599	159	20	2	0.04745	0.34008	8.53353
9	Software_engineering	Database	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	14.8	1247.0	33.04	7883.0	344.0	15.8	0.013260239	0.000925878	0.002290623	0.638246581	1.602421467	0.021248491	0	0.30456	0.42857	0.11111	Computer Science	1	1.3924e-05	4.0919e-05	0.0	0.0	0.0	-114.943	1260	192	3843	424	10	0	0.06429	0.46956	6.29016
10	Information_management	Information_retrieval	19.6	424.0	13.11	2898.0	88.0	22.7	0.096355928	13.9	498.0	38.21	2334.0	128.0	15.2	0.074400964	0.001006114	0.002294894	1.328465594	1.72048221	0.128005535	0	0.17619	0.6	0.0	Computer Science	1	4.066e-06	6.339e-06	0.0	0.0	0.0	-12.1357	265	159	467	194	5	0	0.02642	0.42955	8.04776
11	Computer_security	Computer_network	16.0	1606.0	31.51	9711.0	416.0	17.2	0.027616204	14.2	1318.0	43.63	7747.0	383.0	15.0	0.039322811	0.00095297	0.002302821	1.543549506	1.084026737	0.042626979	0	0.26081	0.66667	0.0	Computer Science	1	1.9755e-05	2.852e-05	1e-08	0.000336247	0.000485437	-103.6925	1609	451	2537	437	34	1	0.07707	0.37849	7.15087
12	Information_management	Data_mining	19.6	424.0	13.11	2898.0	88.0	22.7	0.096355928	15.0	722.0	32.83	3900.0	178.0	16.6	0.114425435	0.000983055	0.002294894	1.595506706	1.343552065	0.153736529	0	0.22381	0.42857	0.0	Computer Science	1	4.066e-06	1.1268e-05	0.0	0.0	0.0	-37.4615	265	159	887	288	5	0	0.04151	0.44893	7.77432
13	Algorithm	Discrete_mathematics	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	15.8	537.0	9.79	2756.0	164.0	17.2	0.017135226	0.001043257	0.002304147	0.964431184	1.054499601	0.018069089	0	0.28269	0.5	0.2	Computer Science	1	3.7994e-05	5.84e-06	1e-08	0.001642036	0.000252398	182.9647	3540	422	295	314	31	1	0.00847	0.49327	7.07032
14	Combinatorial_optimization	Algorithm	13.7	211.0	32.39	728.0	72.0	16.4	0.012806326	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001022051	0.002304147	1.46053426	0.998323493	0.018704078	1	0.42475	1.0	0.2	Computer Science	1	2.426e-06	3.7994e-05	1e-08	0.000252398	0.003952569	-194.11323	155	98	3540	422	17	1	0.18065	0.46919	7.89923
15	System_programming	Microarchitecture	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	15.1	404.0	41.5	3037.0	162.0	15.9	8.5173e-05	0.00090458	0.002310136	0.53390519	9.999999999	0.04522278	0	0.28472	0.55556	0.0	Computer Science	1	1.314e-06	3.481e-06	0.0	0.0	0.0	-9.45779	59	78	228	135	2	0	0.0	0.0	0.0
16	Translator_(computing)	Discrete_mathematics	17.3	36.0	22.14	191.0	7.0	20.0	0.011595563	15.8	537.0	9.79	2756.0	164.0	17.2	0.017135226	0.001043257	0.002303484	0.98692545	0.667861397	0.011443956	0	0.33333	0.33333	0.33333	Computer Science	1	9.3e-07	5.84e-06	0.0	0.0	0.0	-16.57703	30	67	295	314	2	0	0.0	0.0	0.0
